field_id,role,constructible,peer_count,peer_ok,cross_encoding_identity,physical_hash,source,init_kind,dynamics,occupancy_n,predicted_risk,disagreement,abs_z1,abs_z2,match_score_vs_bank,pathology_flag,duplicate_key,nearest_training_note,review_status
al_f23_n9_p8,active_learning,yes_fixed_histogram,8,True,yes_shared_physical_hash,b2c7397e480cebd3,C_virtual,asymmetric_two_cluster,kernel_nn,0.4975845410628019,0.5153869231218359,0.4288088582442808,0.9278319081740589,0.7636314154634009,0.06617721481427807,ok,"('asymmetric_two_cluster', 8, 18, 16, 'C_virtual', 'kernel_nn')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f24_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,bbb7517ae4b090f3,B_k0_drift,antipodal_two_cluster,k0,0.42028985507246375,0.562359212993876,0.4837273184521946,0.09338832343075444,0.5366010393887202,0.059448388009514026,ok,"('antipodal_two_cluster', 16, 1, 10, 'B_k0_drift', 'k0')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f25_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,09be003510a3d78c,B_k0_drift,three_cluster,k0,0.4605475040257649,0.5508011149582658,0.46414165575334293,0.06333597943735948,0.4409888112013625,0.011228477826675423,ok,"('three_cluster', 16, 1, 8, 'B_k0_drift', 'k0')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f26_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,d912cd30d1b3bf36,B_k0_drift,three_cluster,k0,0.4605475040257649,0.543795651956418,0.4519364318532779,0.08239433132734923,0.20217664784571895,0.0427352237179179,ok,"('three_cluster', 16, 0, 4, 'B_k0_drift', 'k0')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f27_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,4b7ab188f16f780d,C_virtual,unimodal_strong,polar_kernel,1.0,0.2638138842704096,0.14757438209129925,0.9937427595366833,0.9753804976600521,0.005049368607141891,ok,"('unimodal_strong', 16, 19, 19, 'C_virtual', 'polar_kernel')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f28_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,78f1e5b75f80d288,C_virtual,unimodal_strong,softmax_stump_boost,1.0,0.2697098221984915,0.15518298405593037,0.9920091507942849,0.9685250520348787,1.1102230246251565e-16,ok,"('unimodal_strong', 16, 19, 19, 'C_virtual', 'softmax_stump_boost')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f29_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,7f98d0efca9b493c,C_virtual,unimodal_strong,softmax_stump_boost,1.0,0.2602045586817437,0.13931079654349157,0.9787765201013244,0.9174074945681574,0.0,ok,"('unimodal_strong', 16, 19, 18, 'C_virtual', 'softmax_stump_boost')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f30_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,5294890a0de48b50,C_virtual,unimodal_strong,softmax_stump_boost,1.0,0.44790169154439413,0.3529181358943337,0.9293584598824253,0.7622595264191645,0.026383515416877112,ok,"('unimodal_strong', 16, 18, 15, 'C_virtual', 'softmax_stump_boost')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
al_f31_n17_p16,active_learning,yes_fixed_histogram,16,True,yes_shared_physical_hash,8b799d1c5b7d34bf,C_virtual,unimodal_strong,softmax_stump_boost,1.0,0.434187959800737,0.33473928272691555,0.9439956558111741,0.7953534157957498,0.028780413788579207,ok,"('unimodal_strong', 16, 18, 15, 'C_virtual', 'softmax_stump_boost')",family_matched_to_bank_descriptor,accepted_after_multi_seed_regen
control_lowrisk_sparse_N8_unimodal_k6,low_risk_anchor,yes_catalog_fixed_snapshot,8,True,yes_shared_physical_hash,1161587d734c41ca,catalog_control,sparse_N8_unimodal_k6,none,,,,,,0.0,ok,sparse_N8_unimodal_k6,exact_or_snapshot_of_sparse_N8_unimodal_k6,accepted_control
control_exact_antipodal_8_8_r00,exact_antipodal_balance,yes_catalog_fixed_snapshot,16,True,yes_shared_physical_hash,3dbbe347116d9c52,catalog_control,sparse_peer16_antipodal_8_8_r00_k6,none,,,,,,0.0,ok,sparse_peer16_antipodal_8_8_r00_k6,exact_or_snapshot_of_sparse_peer16_antipodal_8_8_r00_k6,accepted_control
control_small_imbalance_9_7_r00,small_imbalance,yes_catalog_fixed_snapshot,16,True,yes_shared_physical_hash,b18b3fb8b8a4abb2,catalog_control,sparse_peer16_antipodal_9_7_r00_k6,none,,,,,,0.0,ok,sparse_peer16_antipodal_9_7_r00_k6,exact_or_snapshot_of_sparse_peer16_antipodal_9_7_r00_k6,accepted_control
control_sparse_N16_antipodal_equal,sparse_antipodal_manifold,yes_catalog_fixed_snapshot,16,True,yes_shared_physical_hash,a96cd679f2700a60,catalog_control,sparse_N16_antipodal_k6,none,,,,,,0.0,ok,sparse_N16_antipodal_k6,exact_or_snapshot_of_sparse_N16_antipodal_k6,accepted_control
