family,field_id,stratum,mean_pairwise_TV,dTV_MC,dTV_MI,dTV_CI
claude,mrc_replay_f04,pre_onset,0.0,,,
claude,mrc_replay_f05,pre_onset,0.0,,,
claude,mrc_replay_f06,post_onset,0.0,,,
claude,mrc_replay_f07,post_onset,0.0,,,
claude,mrc_replay_f08,post_onset,0.5,,,
claude,mrc_replay_f09,ordered_state,0.6666666666666666,,,
claude,mrc_replay_f10,ordered_state,0.6666666666666666,,,
claude,mrc_replay_f11,ordered_state,0.0,,,
claude,mrc_replay_f12,negative_K,0.6666666666666666,,,
claude,mrc_replay_f13,negative_K,0.6666666666666666,,,
claude,mrc_replay_f14,negative_K,1.0,,,
claude,mrc_replay_f15,high_r2,0.8333333333333334,,,
claude,mrc_replay_f16,high_r2,0.8333333333333334,,,
claude,mrc_replay_f17,high_r2,0.6875,,,
claude,mrc_replay_f18,early_transient,0.6666666666666666,,,
claude,mrc_replay_f19,early_transient,0.0,,,
claude,mrc_replay_f20,early_transient,0.6666666666666666,,,
claude,mrc_replay_f21,early_transient,0.6666666666666666,,,
claude,mrc_replay_f22,early_transient,0.0,,,
claude,mrc_replay_f23,pre_onset,0.0,,,
claude,mrc_replay_f24,pre_onset,0.0,,,
claude,mrc_replay_f25,pre_onset,0.0,,,
claude,mrc_replay_f26,pre_onset,0.0,,,
claude,mrc_replay_f27,pre_onset,0.0,,,
claude,mrc_replay_f28,post_onset,0.0,,,
claude,mrc_replay_f29,post_onset,0.0,,,
claude,mrc_replay_f30,post_onset,0.0,,,
claude,mrc_replay_f31,post_onset,0.0,,,
claude,mrc_replay_f32,post_onset,0.6666666666666666,,,
claude,mrc_replay_f33,ordered_state,0.0,,,
claude,mrc_replay_f34,ordered_state,0.0,,,
claude,mrc_replay_f35,ordered_state,0.0,,,
claude,mrc_replay_f36,ordered_state,0.041666666666666664,,,
claude,mrc_replay_f37,ordered_state,0.0,,,
claude,mrc_replay_f38,negative_K,0.9791666666666666,,,
claude,mrc_replay_f39,negative_K,1.0,,,
claude,mrc_replay_f40,negative_K,0.6666666666666666,,,
claude,mrc_replay_f41,negative_K,0.0,,,
claude,mrc_replay_f42,negative_K,0.6875,,,
claude,mrc_replay_f43,high_r2,0.7916666666666666,,,
claude,mrc_replay_f44,high_r2,0.8958333333333334,,,
claude,mrc_replay_f45,high_r2,0.6666666666666666,,,
claude,mrc_replay_f46,high_r2,0.0,,,
claude,mrc_replay_f47,high_r2,0.9166666666666666,,,
gemini,mrc_replay_f00,early_transient,0.375,,,
gemini,mrc_replay_f01,early_transient,0.0,,,
gemini,mrc_replay_f02,early_transient,0.0,,,
gemini,mrc_replay_f03,pre_onset,0.6666666666666666,,,
gemini,mrc_replay_f04,pre_onset,0.0,,,
gemini,mrc_replay_f05,pre_onset,0.0,,,
gemini,mrc_replay_f06,post_onset,0.0,,,
gemini,mrc_replay_f07,post_onset,0.0,,,
gemini,mrc_replay_f08,post_onset,0.125,,,
gemini,mrc_replay_f09,ordered_state,0.0,,,
gemini,mrc_replay_f10,ordered_state,0.0,,,
gemini,mrc_replay_f11,ordered_state,0.0,,,
gemini,mrc_replay_f12,negative_K,0.6666666666666666,,,
gemini,mrc_replay_f13,negative_K,0.6666666666666666,,,
gemini,mrc_replay_f14,negative_K,0.0,,,
gemini,mrc_replay_f15,high_r2,0.0,,,
gemini,mrc_replay_f16,high_r2,0.6666666666666666,,,
gemini,mrc_replay_f17,high_r2,0.6666666666666666,,,
gemini,mrc_replay_f18,early_transient,0.6666666666666666,,,
gemini,mrc_replay_f19,early_transient,0.0,,,
gemini,mrc_replay_f20,early_transient,0.041666666666666664,,,
gemini,mrc_replay_f21,early_transient,0.25,,,
gemini,mrc_replay_f22,early_transient,0.0,,,
gemini,mrc_replay_f23,pre_onset,0.0,,,
gemini,mrc_replay_f24,pre_onset,0.0,,,
gemini,mrc_replay_f25,pre_onset,0.0,,,
gemini,mrc_replay_f26,pre_onset,0.0,,,
gemini,mrc_replay_f27,pre_onset,0.6666666666666666,,,
gemini,mrc_replay_f28,post_onset,0.0,,,
gemini,mrc_replay_f29,post_onset,0.1333333333333333,,,
gemini,mrc_replay_f30,post_onset,0.0,,,
gemini,mrc_replay_f31,post_onset,0.0,,,
gemini,mrc_replay_f32,post_onset,0.125,,,
gemini,mrc_replay_f33,ordered_state,0.0,,,
gemini,mrc_replay_f34,ordered_state,0.0,,,
gemini,mrc_replay_f35,ordered_state,0.0,,,
gemini,mrc_replay_f36,ordered_state,0.0,,,
gemini,mrc_replay_f37,ordered_state,0.0,,,
gemini,mrc_replay_f38,negative_K,0.0,,,
gemini,mrc_replay_f39,negative_K,0.0,,,
gemini,mrc_replay_f40,negative_K,0.6666666666666666,,,
gemini,mrc_replay_f41,negative_K,0.0,,,
gemini,mrc_replay_f42,negative_K,0.0,,,
gemini,mrc_replay_f43,high_r2,0.0,,,
gemini,mrc_replay_f44,high_r2,0.0,,,
gemini,mrc_replay_f45,high_r2,0.6666666666666666,,,
gemini,mrc_replay_f46,high_r2,0.0,,,
gemini,mrc_replay_f47,high_r2,0.6666666666666666,,,
